model,sample_id,fad_vggish,fad_clap,kad_vggish,kad_clap,irs,cbs,cbd,cocola_both,cocola_harmonic,cocola_percussive,ta,clip_id
MSG-LD-ext,05,0.5651565194129944,1.0548323392868042,0.2790099680793908,0.4377262527142332,0.0450242319060763,0.321428571427653,0.3575571901176613,55.19634819030762,56.22890377044678,60.15265369415283,0.3674687977013558,MSG-LD-ext/05
MSG-LD-ext,06,0.6778882741928101,1.178951859474182,0.2629983723533776,0.5097404653225707,0.0497237514186393,0.4629629629612483,0.0607744641958876,54.67505741119385,56.48487377166748,59.802836418151855,0.7541387224276425,MSG-LD-ext/06
MSG-LD-ext,07,0.7629572153091431,1.136555790901184,0.1742849648368981,0.4904261762295531,0.0679616714853015,0.2941176470579584,0.5185011344657362,57.54289150238037,58.46790409088135,64.01830291748047,0.4084224598930481,MSG-LD-ext/07
MSG-LD-ext,08,0.5168929696083069,1.0615613460540771,0.2126775086296227,0.4378036195431517,0.0626320593551269,0.5624999999984375,0.2674674743581429,56.02323627471924,59.73832893371582,60.23151874542236,0.8413275832133263,MSG-LD-ext/08
MSG-LD-ext,09,1.4812039136886597,1.2031036615371704,0.3456262648475793,0.5416067773495482,0.0373534702681852,0.3693693693683711,0.4640166991990722,56.07295989990234,51.72338199615479,62.24928379058838,0.3045183645183645,MSG-LD-ext/09
MSG-LD-ext,10,0.8190863728523254,1.2467284202575684,0.3245981037986901,0.5539984637890624,0.0556824690416294,0.3170731707309339,0.4857870044446163,59.67475414276123,59.85991096496582,62.55124187469482,0.3126012930910181,MSG-LD-ext/10
MSLDM,01,0.4880600571632385,0.9854187965393066,0.192696124352279,0.385857575574951,0.0227196340520161,0.4852941176456314,0.0776982842527475,64.48214435577393,66.99011421203613,68.7367935180664,0.9156756756756756,MSLDM/01
MSLDM,02,0.4393544495105743,0.9850878715515136,0.2050036490333703,0.3899190360699461,0.0349810915865264,0.551724137929132,0.1634717456877268,67.8365592956543,68.70614242553711,68.70068168640137,0.7882653061224489,MSLDM/02
MSLDM,03,0.4953354895114898,1.0114823579788208,0.1812532246482995,0.4018564159069823,0.0293688589891792,0.3571428571420068,0.3260265076863981,65.36719512939453,66.21369934082031,70.89980506896973,0.6055714647786259,MSLDM/03
MSLDM,04,16229.9609375,0.8611392974853516,0.2284994423759606,0.3115323716793822,0.0213922909801664,0.575757575755831,0.1049496740882858,70.86525344848633,72.08729934692383,74.83476638793945,0.7875134725160672,MSLDM/04
MSLDM,05,0.843044102191925,1.263099193572998,0.3160809576881555,0.5640855962429808,0.0294733756673748,0.3388888888881358,0.4929097481520638,70.28967475891113,70.64470672607422,74.2878646850586,0.4491322844927444,MSLDM/05
MSLDM,06,0.4133334457874298,0.8687390685081482,0.1382419169319299,0.3176031047497557,0.0317834642327973,0.4838709677403746,0.2125336354407138,71.79581832885742,72.63113784790039,74.52423286437988,0.9198979591836736,MSLDM/06
MSLDM,07,0.5161346197128296,1.013513207435608,0.2481997311485436,0.4046634370480345,0.0262692491594031,0.3418367346931799,0.4794310873240075,68.62791538238525,68.9630184173584,70.85808563232422,0.7891152049818371,MSLDM/07
MSLDM,08,0.4638288021087646,0.8659564852714539,0.1676348746193078,0.3193001681958006,0.0179422661553118,0.4821428571417092,0.0891472308003371,68.5007266998291,69.1937427520752,72.55264091491699,0.3588952654232424,MSLDM/08
MSLDM,09,0.3731950521469116,1.034121036529541,0.1468776762855675,0.4189380342160033,0.026406782642468,0.5086206896534186,0.1805920735414557,71.37575912475586,70.96157455444336,72.57915687561035,0.7968992248062016,MSLDM/09
MSLDM,10,0.4273864030838012,0.8790192008018494,0.1776579916847375,0.3271237546597288,0.0292221448861127,0.6249999999980469,0.1634493312868795,69.71483421325684,72.84790229797363,73.11881256103516,0.8076923076923077,MSLDM/10
